Energy,Counts/s
540,5385.6327
539.9,5377.0126
539.8,5445.4113
539.7,5378.0184
539.6,5371.6017
539.5,5441.8836
539.4,5382.8602
539.3,5341.9636
539.2,5305.2001
539.1,5411.0367
539,5405.8009
538.9,5205.8801
538.8,5257.7194
538.7,5424.9313
538.6,5356.6749
538.5,5319.6907
538.4,5386.3369
538.3,5289.8173
538.2,5408.1613
538.1,5353.8157
538,5290.1643
537.9,5379.6805
537.8,5395.1154
537.7,5387.9291
537.6,5450.882
537.5,5386.6655
537.4,5327.7465
537.3,5394.158
537.2,5434.8966
537.1,5421.6808
537,5325.8841
536.9,5359.1208
536.8,5432.6552
536.7,5381.4761
536.6,5432.9691
536.5,5417.4223
536.4,5333.6385
536.3,5373.6023
536.2,5352.6679
536.1,5373.2861
536,5454.4621
535.9,5388.7703
535.8,5360.5668
535.7,5505.9041
535.6,5424.0772
535.5,5527.6291
535.4,5552.9009
535.3,5563.2468
535.2,5621.1386
535.1,5705.9706
535,5761.9862
534.9,5788.8522
534.8,5907.9458
534.7,5926.0253
534.6,6162.477
534.5,6202.4727
534.4,6245.2507
534.3,6318.0929
534.2,6401.524
534.1,6400.9322
534,6464.2288
533.9,6412.4286
533.8,6439.6625
533.7,6544.0856
533.6,6565.2295
533.5,6727.2231
533.4,6582.5681
533.3,6706.4682
533.2,6855.5479
533.1,6904.4077
533,6800.9738
532.9,6854.5534
532.8,6883.0377
532.7,6861.9451
532.6,6752.498
532.5,6681.1007
532.4,6769.5947
532.3,6731.6134
532.2,6596.8494
532.1,6788.282
532,6720.629
531.9,6759.0883
531.8,6759.3005
531.7,6696.3938
531.6,6503.3048
531.5,6467.92
531.4,6382.0033
531.3,6263.6313
531.2,6219.9004
531.1,6131.747
531,5973.6265
530.9,5819.0663
530.8,5799.4053
530.7,5860.5705
530.6,5729.7091
530.5,5680.618
530.4,5642.404
530.3,5546.7573
530.2,5450.9105
530.1,5389.2718
530,5421.7483
529.9,5397.5336
529.8,5388.4262
529.7,5385.9945
529.6,5372.4619
529.5,5346.8854
529.4,5366.9834
529.3,5388.557
529.2,5401.798
529.1,5281.356
529,5339.6095
528.9,5355.1717
528.8,5393.6852
528.7,5338.8974
528.6,5282.6365
528.5,5322.757
528.4,5268.3539
528.3,5334.5303
528.2,5357.5097
528.1,5417.5639
528,5411.0969
527.9,5290.4064
527.8,5332.3469
527.7,5292.4531
527.6,5371.0466
527.5,5381.3511
527.4,5264.9818
527.3,5306.9394
527.2,5307.2638
527.1,5431.5952
527,5282.3963
526.9,5297.8268
526.8,5261.4465
526.7,5249.6187
526.6,5367.1506
526.5,5335.6958
526.4,5295.4851
526.3,5296.9449
526.2,5339.8272
526.1,5373.4157
526,5364.3095
525.9,5285.8852
525.8,5319.3419
525.7,5243.1615
525.6,5287.0559
525.5,5357.6367
525.4,5311.1407
525.3,5341.7109
525.2,5408.2132
525.1,5334.5541
525,5283.6567
524.9,5285.9132
524.8,5320.0378
524.7,5344.1958
524.6,5361.8617
524.5,5330.3347
524.4,5331.6371
524.3,5364.6991
524.2,5306.4743
524.1,5407.4567
524,5391.1568
